cve_id,project_name,project_language,affects_multiple,version_introduced,version_patched,cve_publish_date,cvss,project_severity_rating,patch_commit,patch_language,patch_path,patch_location,location_category,nvd_cwe,manual_label,subclass_label,nvd_override,memory_unsafety,primary_advisory,other_references,summary,additional_notes
CVE-2022-3996,OpenSSL,C,N,3.0.0,3.0.8,12/13/2022,7.5,Low,https://github.com/openssl/openssl/commit/7725e7bfe6f2ce8146b6552b44e0d226be7638e7,C,crypto/x509/pcy_map.c,X.509,X.509,CWE-667: Improper Locking,Systems Issue,Thread Safety,N,N,https://www.openssl.org/news/secadv/20221213.txt,-,X.509 certificate validation logic contained a redundant flag that could cause double locking (in an attempt to avoid race conditions). Patch commit removes the extra flag.,-
CVE-2022-3786,OpenSSL,C,N,3.0.0,3.0.7,11/1/2022,7.5,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=c42165b5706e42f67ef8ef4c351a9a4c5d21639a,C,crypto/punycode.c,Punycode,X.509,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20221101.txt,https://words.filippo.io/dispatches/openssl-punycode/,X.509 constraint checking implementation contains a buffer overflow since it does not adequately check the length of the email address variable field.,-
CVE-2022-3602,OpenSSL,C,N,3.0.0,3.0.7,11/1/2022,7.5,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=fe3b639dc19b325846f4f6801f2f4604f56e3de3,C,crypto/punycode.c,Punycode,X.509,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20221101.txt,https://words.filippo.io/dispatches/openssl-punycode/,"Punycode implementation (as part of X.509 certificate parsing) contains a buffer overflow due to a conditional check on the amount previously written of > instead of >=. First CVE to be given critical severity indicator by OpenSSL team since Heartbleed, though downgrade later.","On X.509/punycode in general: ""Explicit IETF design choice that made punycode decoding part of X.509 verification."""
CVE-2022-3358,OpenSSL,C,N,3.0.0,3.0.6,10/11/2022,7.5,Low,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=5485c56679d7c49b96e8fc8ca708b0b7e7c03c4b,C,crypto/evp/digest.c; crypto/evp/evp_enc.c,EVP (Envelope),Miscellaneous,CWE-476: NULL Pointer Dereference,Cryptographic Issue,Other,Y,Y,https://www.openssl.org/news/secadv/20221011.txt,-,"Implementation did not prefer a custom EVP cipher if provided and instead tried to fetch an equivalent cipher based on an identifier value. If a client mistakenly/maliciously uses an undefined macro for the identifier value, this causes OpenSSL to fetch the NULL cipher, which can in turn cause plaintext to be emitted instead of ciphertext. Patch commit added more conditional checks to make sure a NULL cipher is not used. Issue is with legacy custom ciphers (function in question was deprecated in OpenSSL 3.0). While the patch contains a small fix for an additional null pointer dereference, this issue is larger than that.",-
CVE-2022-2097,OpenSSL,C,N,1.1.1,1.1.1q,7/5/2022,5.0; 5.3,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=919925673d6c9cfed3c1085497f5dfbbed5fc431,Perl,crypto/aes/asm/aesni-x86.pl,-,-,CWE-326: Inadequate Encryption Strength,Memory Management,Uninitialized Memory,Y,Y,https://www.openssl.org/news/secadv/20220705.txt,-,"AES OCB mode for x86_32 platforms used the 'jump below' instruction instead of 'jump below end', causing the last 16-byte block to not be initialized/processed.",-
CVE-2022-2274,OpenSSL,C,N,3.0.4,3.0.5,7/1/2022,10.0; 9.8,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=4d8a88c134df634ba610ff8db1eb8478ac5fd345,C,crypto/bn/rsaz_exp_x2.c,-,BigNum,CWE-787: Out-of-bounds Write,Cryptographic Issue,Bad Math,Y,Y,https://www.openssl.org/news/secadv/20220705.txt,-,Bug in RSA implementation (incorrect calculation of factor size) causes memory corruption (and potentially weaker keys) during computation with 2048-bit private keys for x86_64 CPUs.,-
CVE-2022-2068,OpenSSL,C,N,1.1.1,1.1.1p,6/21/2022,10.0; 9.8,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=9639817dac8bbbaa64d09efad7464ccc405527c7,-,tools/c_rehash.in,-,Miscellaneous,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Systems Issue,Command Injection,N,N,https://www.openssl.org/news/secadv/20220621.txt,-,Command injection vulnerability where shell input is not properly sanitized in c_rehash script.,"From project vulnerability description: ""Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool."""
CVE-2022-1473,OpenSSL,C,N,3.0.0,3.0.3,5/3/2022,5.0; 7.5,Low,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=64c85430f95200b6b51fe9475bd5203f7c19daf1,C,crypto/lhash/lhash.c,Linear Hashing,Other Primitives,CWE-404: Improper Resource Shutdown or Release,Memory Management,Memory Exhaustion,N,N,https://www.openssl.org/news/secadv/20220503.txt,-,"Hash table is not properly flushed, potentially leading to excess memory usage (causing a denial of service) in the case of long-lived processes.",-
CVE-2022-1434,OpenSSL,C,N,3.0.0,3.0.3,5/3/2022,4.3; 5.9,Low,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=7d56a74a96828985db7354a55227a511615f732b,C,providers/implementations/ciphers/cipher_rc4_hmac_md5.c,RC4-MD5,Other Primitives,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,Cryptographic Issue,Other,N,N,https://www.openssl.org/news/secadv/20220503.txt,-,"RC4-MD5 cipher (used in TLS) used TLS AAD data instead of the actual MAC key due to a ""copy & paste error"".",-
CVE-2022-1343,OpenSSL,C,N,3.0.0,3.0.3,5/3/2022,4.3; 5.3,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=2eda98790c5c2741d76d23cc1e74b0dc4f4b391a,C,crypto/ocsp/ocsp/vfy.c,OCSP,X.509,CWE-295: Improper Certificate Validation,Cryptographic Issue,Certificate Verification,N,N,https://www.openssl.org/news/secadv/20220503.txt,-,"When a non-default OCSP flag is enabled, the function will return a succesful verification even when the certificate did not verify when it should have returned an error.",-
CVE-2022-1292,OpenSSL,C,N,1.1.1,1.1.1o,5/3/2022,10.0; 9.8,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=e5fd1728ef4c7a5bf7c7a7163ca60370460a6e23,-,tools/c_rehash.in,-,Miscellaneous,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Systems Issue,Command Injection,N,N,https://www.openssl.org/news/secadv/20220503.txt,-,"C_rehash script does not properly sanitize shell input, leaving it vulnerable to a classic command injection attack.",-
CVE-2022-0778,OpenSSL,C,N,1.1.1,1.1.1n,3/15/2022,5.0; 7.5,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=3118eb64934499d93db3230748a452351d1d9a65,C,crypto/bn/bn_sqrt.c,BIGNUM,BigNum,CWE-835: Loop with Unreachable Exit Condition ('Infinite Loop'),Numeric Error,-,N,N,https://www.openssl.org/news/secadv/20220315.txt,-,Modular square root implementation contains a calculation bug that can cause it to loop forever.,OpenSSL patch is based on patch from BoringSSL Project.
CVE-2021-4160,OpenSSL,C,N,1.1.1,1.1.1m,1/28/2022,4.3; 5.9,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=e9e726506cd2a3fd9c0f12daf8cc1fe934c7dddb,Perl,crypto/bn/asm/mipls.pl,BIGNUM,-,-,Numeric Error,Carry Propagation,N/A,N,https://www.openssl.org/news/secadv/20220128.txt,-,Carry propagation bug in MIPS squaring procedure---squaring produces an incorrect result. Only affects OpenSSL on MIPS platforms.,-
CVE-2021-4044,OpenSSL,C,N,3.0.0,3.0.1,12/14/2021,5.0; 7.5,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=758754966791c537ea95241438454aa86f91f256,C,ssl/ssl_cert.c,SSL,SSL,CWE-835: Loop with Unreachable Exit Condition ('Infinite Loop'),Cryptographic Issue,Certificate Verification,Y,N,https://www.openssl.org/news/secadv/20211214.txt,-,"Implementation contains a logic issue related to how certificate verification should proceed based on internal error return values from X509_verify_cert(), which could cause a crash and/or infinite loop depending on application. Fix consists of minor conditional modifications to treat internal errors and failure to verify as the same.",-
CVE-2021-3712,OpenSSL,C,N,1.1.1,1.1.1l,8/24/2021,5.8; 7.4,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=94d23fcff9b2a7a8368dfe52214d5c2569882c11,C,crypto/ec/ec_asn1.c,EC/ASN.1,X.509,CWE-125: Out-of-bounds Read,Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20210824.txt,-,Missing check that integer return value from ASN.1 internal function is not empty/null-terminated --- could potentially cause a buffer overread.,-
CVE-2021-3711,OpenSSL,C,N,1.1.1,1.1.1l,8/24/2021,7.5; 9.8,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=59f5e75f3bced8fc0e130d72a3f582cf7b480b46,C,crypto/sm2/sm2_crypt.c,SM2,Signature Algorithms,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20210824.txt,-,Implementation bug such that plaintext buffer size calculation is incorrect --- can cause a buffer overflow in certain cases depending on decrypted plaintext size.,-
CVE-2021-3450,OpenSSL,C,N,1.1.1h,1.1.1k,3/25/2021,5.8; 7.4,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=2a40b7bc7b94dd7de897a74571e7024f0cf0d63b,C,crypto/x509/x509_vfy.c,X.509,X.509,CWE-295: Improper Certificate Validation,Cryptographic Issue,Certificate Verification,N,N,https://www.openssl.org/news/secadv/20210325.txt,-,Chain of certificate security checks contains an implementation error that allows bypass of a different check. Patch commit modifies series of conditionals.,-
CVE-2021-3449,OpenSSL,C,N,1.1.1,1.1.1k,3/25/2021,4.3; 5.9,High,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=fb9fa6b51defd48157eeb207f52181f735d96148,C,ssl/statem/extensions.c,TLSv1.2,SSL,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20210325.txt,-,Maliciously crafted ClientHello renegotiation message can cause TLSv1.2 server to crash since length variable is not reset prior to renegotiation (which leads to NULL pointer access since length var is non-zero).,-
CVE-2021-23840,OpenSSL,C,N,1.1.1,1.1.1j,2/16/2021,5.0; 7.5,Low,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=6a51b9e1d0cf0bf8515f7201b68fb0a3482b3dc1,C,crypto/evp/evp_enc.c,EVP (Envelope),Miscellaneous,CWE-190: Integer Overflow or Wraparound,Numeric Error,Integer Overflow,N,Y,https://www.openssl.org/news/secadv/20210216.txt,-,"Integer overflow in certain cases where the input length is too close to max allowed length---causes function to incorrectly return success value while output length value is invalid, leading to undefined behavior.",-
CVE-2021-23839,OpenSSL,C,N,1.0.2s,1.0.2y,2/16/2021,4.3; 3.7,Low,N/A,-,-,SSLv2,SSL,CWE-326: Inadequate Encryption Strength,Cryptographic Issue,TLS Implementation,N,N,https://www.openssl.org/news/secadv/20210216.txt,-,Server that supports versions greater than SSLv2 does not correctly reject connection attempts when a version rollback has occurred. The issue is that the version check contained inverted logic such that the server would erroneously accept a version rollback connection attempt.,No public patch commit (premium support).
CVE-2021-23841,OpenSSL,C,N,1.1.1,1.1.1j,2/16/2021,4.3; 5.9,Moderate,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=122a19ab48091c657f7cb1fb3af9fc07bd557bbf,C,crypto/x509/x509_cmp.c,X.509,X.509,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20210216.txt,-,"X.509 certificate parser does not handle error correctly. It does not check whether a particular value is null, leading to a potential NULL pointer dereference.",-
