commit_date,commit_hash,loc_c,loc_cpp,loc_c_cpp
2020-09-01,1a5ae1da14,385696,1604,387300
2020-08-01,0f9fdefeb0,396288,1604,397892
2020-07-01,0577959cea,391671,1601,393272
2020-06-01,32df13497a,385853,1595,387448
2020-05-01,9011309618,379765,1595,381360
2020-04-01,ccb8f0c87e,375295,1595,376890
2020-03-01,15e5b96933,368555,1595,370150
2020-02-01,03e16083ff,360642,1595,362237
2020-01-01,5f95fbf399,356634,1595,358229
2019-12-01,be3acd799b,354476,1595,356071
2019-11-01,c47a56d615,348771,1595,350366
2019-10-01,1738c0ce44,344320,1595,345915
2019-09-01,24fd8541d4,336974,1595,338569
2019-08-01,2b2eb210a1,333519,1595,335114
2019-07-01,6b10d29c1a,332806,1595,334401
2019-06-01,aad07a2f26,330310,1595,331905
2019-05-01,e8fb288cc5,328125,1595,329720
2019-04-01,0b45d8eec0,324694,1595,326289
2019-03-01,38023b87f0,316577,1595,318172
2019-02-01,b2aea0e3d9,312128,1595,313723
2019-01-01,1f483a69bc,311350,1595,312945
2018-12-01,9b1c0e006b,309814,1595,311409
2018-11-01,00496b6423,309058,1595,310653
2018-10-01,f3002a2ed3,307387,1595,308982
2018-09-01,354e010757,455939,1595,457534
2018-08-01,680b9d45b0,455605,1595,457200
2018-07-01,5281bb2252,454610,1580,456190
2018-06-01,166f0082e7,453361,1580,454941
2018-05-01,c4fa1f7fc0,451926,1577,453503
2018-04-01,0e34f37fb1,450369,1577,451946
2018-03-01,4a56d2a3b3,280357,1572,281929
2018-02-01,03cb2cc9e5,276490,1572,278062
2018-01-01,d201dbc9a4,274289,1571,275860
2017-12-01,822b5e2645,272118,1571,273689
2017-11-01,4a089bbdf1,270060,1571,271631
2017-10-01,6364475a99,268618,1571,270189
2017-09-01,607f4d564f,268215,1571,269786
2017-08-01,418d49c276,266067,1571,267638
2017-07-01,f2da4a4917,263529,1571,265100
2017-06-01,a2d9cfbac5,260229,1571,261800
2017-05-01,ee6b68ce4c,258616,1571,260187
2017-04-01,d83112b7fd,258537,1571,260108
2017-03-01,f8aa15728b,255389,1561,256950
2017-02-01,3f5616d734,254720,1561,256281
2017-01-01,13ab87083a,251133,1561,252694
2016-12-01,bcd62c2512,249618,1561,251179
2016-11-01,b50052dbe8,245636,0,245636
2016-10-01,eb67172ae5,245160,0,245160
2016-09-01,377ab6d183,243182,0,243182
2016-08-01,cb926df2fa,241381,0,241381
2016-07-01,fe964f0c88,239277,0,239277
2016-06-01,ade82832cd,238410,0,238410
2016-05-01,24c2cd3967,237880,292,238172
2016-04-01,488e2b0f5a,235745,292,236037
2016-03-01,359aa38fbe,239098,509,239607
2016-02-01,8cdd6b6b47,235970,509,236479
2016-01-01,1e0784ff95,239479,509,239988
2015-12-01,338f5727c8,239476,509,239985
2015-11-01,a2aaf8be7e,237749,509,238258
2015-10-01,57e4e926da,243511,509,244020
2015-09-01,246b52f39a,242470,509,242979
2015-08-01,9e83e6cda9,242257,792,243049
2015-07-01,36f038f104,241626,792,242418
2015-06-01,8c2b1d872b,240839,792,241631
2015-05-01,25aaa98aa2,243820,792,244612
2015-04-01,"""11305038e9""",248129,792,248921
2015-03-01,a258afaf7c,248567,792,249359
2015-02-01,1d4d68570b,250241,1047,251288
2015-01-01,2a9338ee31,257831,1047,258878
2014-12-01,8cfe08b4ec,274451,1047,275498
2014-11-01,6696203963,274488,1047,275535
2014-10-01,ae4af7a067,274316,1047,275363
2014-09-01,b0426a0f8c,267430,1047,268477
2014-08-01,a46149c672,266830,1048,267878
2014-07-01,398e99fe5e,269167,1048,270215
2014-06-01,de51e830a6,269471,1048,270519
2014-05-01,e5676b8328,268270,1048,269318
2014-04-01,b48310627d,268131,1048,269179
