3.1.0, 7/11/2023
3.0.0, 4/11/2023
2.19.3, 11/16/2022
2.19.2, 6/3/2022
2.19.1, 1/21/2022
2.19.0, 1/19/2022
2.18.2, 10/25/2021
2.18.1, 5/9/2021
2.18.0, 4/15/2021
2.17.3, 12/21/2020
2.17.2, 11/13/2020
2.17.1, 11/7/2020
2.17.0, 11/5/2020
2.16.0, 10/6/2020
2.15.0, 7/7/2020
2.14.0, 4/6/2020
2.13.0, 1/6/2020
2.12.1, 10/14/2019
2.12.0, 10/7/2019
2.11.0, 7/1/2019
2.10.0, 3/30/2019
2.9.0, 1/4/2019
2.8.0, 10/1/2018
2.7.0, 7/2/2018
2.6.0, 4/10/2018
2.5.0, 4/2/2018
2.4.0, 1/8/2018
2.3.0, 10/2/2017
2.2.0, 8/7/2017
2.1.0, 4/4/2017
2.0.1, 1/9/2017
2.0.0, 1/6/2017
1.11.34, 11/28/2016
1.11.33, 10/26/2016
1.11.32, 9/28/2016
1.11.31, 8/30/2016
1.11.29, 3/20/2016
1.11.27, 2/1/2016
1.11.22, 10/26/2015
1.11.20, 9/7/2015
1.11.19, 8/3/2015
1.11.12, 1/2/2015
1.11.9, 4/10/2014
1.11.6, 12/29/2013
1.11.0, 7/19/2012
1.10, 6/20/2011
1.9.18, 6/3/2011
1.8.3, 7/11/2009
1.7.15, 10/7/2008
1.6.0, 12/17/2006
0.9.1, 8/10/2002
0.9.0, 8/3/2002
0.7.0, 3/1/2001
