3.7.7, 7/28/2022
3.7.0, 12/2/2020
3.6.15, 9/4/2020
3.6.14, 6/3/2020
3.6.13, 3/31/2020
3.6.12, 2/1/2020
3.6.11, 12/1/2019
3.6.10, 9/29/2019
3.6.9, 7/25/2019
3.6.8, 5/28/2019
3.6.7, 3/27/2019
3.6.6, 1/25/2019
3.6.5, 12/1/2018
3.6.4, 9/24/2018
3.6.3, 7/16/2018
3.6.2, 2/16/2018
3.6.1, 10/21/2017
3.6.0, 8/21/2017
3.5.19, 7/16/2018
3.5.18, 2/16/2018
3.5.17, 1/17/2018
3.5.16, 10/21/2017
3.5.15, 8/21/2017
3.5.14, 7/4/2017
3.5.13, 6/7/2017
3.5.12, 5/11/2017
3.5.11, 4/7/2017
3.5.10, 3/6/2017
3.5.9, 2/12/2017
3.5.8, 1/9/2017
3.5.7, 12/8/2016
3.5.6, 11/4/2016
3.5.5, 10/9/2016
3.5.4, 9/8/2016
3.5.3, 8/9/2016
3.5.2, 7/6/2016
3.5.1, 6/14/2016
3.5.0, 5/9/2016
3.4.14, 7/6/2016
3.4.13, 6/6/2016
3.4.12, 5/20/2016
3.4.3, 7/12/2015
3.4.2, 6/16/2015
3.4.1, 5/3/2015
3.4.0, 4/8/2015
3.3.25, 10/9/2016
3.3.16, 7/12/2015
3.3.15, 5/3/2015
3.3.14, 3/30/2015
3.3.13, 2/25/2015
3.3.12, 1/17/2015
3.3.11, 12/11/2014
3.3.10, 11/10/2014
3.3.9, 10/13/2014
3.3.8, 9/18/2014
3.3.7, 8/24/2014
3.3.6, 7/23/2014
3.3.5, 6/26/2014
3.3.4, 5/31/2014
3.3.3, 5/30/2014
3.3.2, 5/6/2014
3.3.1, 4/19/2014
3.3.0, 4/10/2014
3.2.19, 10/13/2014
3.2.18, 9/18/2014
3.2.17, 8/24/2014
3.2.16, 7/23/2014
3.2.15, 5/30/2014
3.2.14, 5/6/2014
3.2.13, 4/7/2014
3.2.12.1, 3/4/2014
3.2.12, 3/3/2014
3.2.11, 2/13/2014
3.2.10, 2/1/2014
3.2.9, 1/24/2014
3.2.8.1, 12/21/2013
3.2.8, 12/20/2013
3.2.7, 11/23/2013
3.2.6, 10/31/2013
3.2.5, 10/23/2013
3.2.4, 8/31/2013
3.2.3, 7/30/2013
3.2.2, 7/14/2013
3.2.1, 6/1/2013
3.2.0, 5/10/2013
3.1.27, 10/13/2014
3.1.26, 8/24/2014
3.1.25, 5/30/2014
3.1.24, 5/6/2014
3.1.23, 4/7/2014
3.1.22, 3/3/2014
3.1.21, 2/13/2014
3.1.20, 2/1/2014
3.1.19, 1/24/2014
3.1.18, 12/20/2013
3.1.17, 11/23/2013
3.1.16, 10/31/2013
3.1.15, 10/23/2013
3.1.14, 8/31/2013
3.1.13, 7/13/2013
3.1.12, 6/1/2013
3.1.11, 5/10/2013
3.1.10, 3/22/2013
3.1.9, 2/27/2013
3.1.8, 2/10/2013
3.1.7, 2/4/2013
3.1.6, 1/2/2013
3.1.5, 11/24/2012
3.1.4, 11/10/2012
3.1.3, 10/12/2012
3.1.2, 9/26/2012
3.1.1, 9/2/2012
3.1.0, 8/15/2012
3.0.28, 2/4/2013
3.0.27, 1/3/2013
3.0.26, 11/8/2012
3.0.25, 10/12/2012
3.0.24, 9/26/2012
3.0.23, 9/2/2012
3.0.22, 8/4/2012
3.0.21, 7/2/2012
3.0.20, 6/5/2012
3.0.19, 4/22/2012
3.0.18, 4/2/2012
3.0.17, 3/17/2012
3.0.16, 3/16/2012
3.0.15, 3/2/2012
3.0.14, 2/24/2012
3.0.13, 2/18/2012
3.0.12, 1/20/2012
3.0.11, 1/6/2012
3.0.10, 1/4/2012
3.0.9, 12/13/2011
3.0.8, 11/12/2011
3.0.7, 11/8/2011
3.0.6, 11/7/2011
3.0.5, 10/27/2011
3.0.4, 10/15/2011
3.0.3, 9/18/2011
3.0.2, 9/1/2011
3.0.1, 8/20/2011
3.0.0, 7/29/2011
3.00, 7/29/2011
3.0, 7/29/2011
2.99.4, 7/23/2011
2.99.3, 6/18/2011
2.99.2, 5/26/2011
2.99.1, 4/23/2011
2.99.0, 4/9/2011
2.12.23, 2/4/2013
2.12.22, 1/5/2013
2.12.21, 11/8/2012
2.12.20, 6/10/2012
2.12.19, 5/5/2012
2.12.18, 3/16/2012
2.12.17, 3/2/2012
2.12.16, 1/6/2012
2.12.15, 1/6/2012
2.12.14, 11/7/2011
2.12.13, 11/7/2011
2.12.12, 10/20/2011
2.12.11, 9/18/2011
2.12.10, 9/1/2011
2.12.9, 8/20/2011
